#variable_id,variable_type,variable_name,display_name,aliases,bounds,default_unit_name,question
1123,numerical,"cd8 t-lymphocytes, effector memory",CD8 Antigens,"cd8|cd8 co-receptor|suppressor t lymphocyte marker|hla - class 1 human leukocyte antigen receptor|t-cell surface glycoprotein cd8|t8 - t-cell lineage 8|antigens, t-cell t8|lymphocyte antigen cd8  substance|antigens, leu-2|t-cell lineage 8|leucocyte 2|class 1 human leucocyte antigen receptor|cd8 antigens|t8 antigens, t-cell|hla - class 1 human leucocyte antigen receptor|cd8 molecule|lymphocyte antigen cd8|cluster of differentiation antigen 8|leu 2 antigens|okt8 - ortho kung t8|leu-2 antigens|cd8 complex|okt8 antigen|cd8 antigen|t-cell t8 antigens|cd8 - cluster of differentiation antigen 8|ortho kung t8|t8 molecule|leukocyte 2|antigens, cd8|t-suppressor / cytotoxic cell marker|t8 antigens, t cell|class 1 human leukocyte antigen receptor|antigen, cd8",,,
1124,numerical,factor ix,factor IX,"antihemophilic factor b|blood coagulation factor ix|coagulation factor ix  substance|coagulation factor ix|platelet cofactor ii|thromboplastinogen b|antihaemophilic factor b|ptc|factor nine|blood-coagulation factor ix|product containing coagulation factor ix  medicinal product|coagulation factor ix-containing product|plasma thromboplastin component  ptc|plasma thromboplastin component|christmas factor|factor ix, coagulation|autoprothrombin ii|factor 9|factor ix",,,
1125,numerical,cd19,CD19 gene,cd19 molecule gene|cd19|cd19 antigen|b-lymphocyte antigen cd19|cd19 molecule|cd19 antigen gene|cd19 gene,,,
1126,numerical,promyelocytes/leukocytes,Promyelocyte to Lymphocyte Ratio Measurement,promyle|promyelocytes/leukocytes|promyelocyte to lymphocyte ratio measurement,,,
1127,numerical,prolactin,prolactin,"mammotropin|product containing prolactin  medicinal product|hormone, pituitary mammotropic|pituitary mammotropic hormone|pituitary lactogenic hormone|growth hormone a1|hormone, pituitary lactogenic|mammary stimulating hormone|lth  luteotropic hormone|prolactin  substance|prl|prolactin preparation|luteotropic hormone|prl  prolactin|lth|lactogenic hormone|prolactins|lactogenic hormone, pituitary|prl - prolactin|prolactin-containing product|luteotropin|decidual prolactin|mammotropic hormone, pituitary|prolactin",,,
1128,numerical,chromogranin a,Chromogranin A,"parathyroid secretory protein|chga protein|secretory protein i, parathyroid gland|chromogranin a|chromogranin a  substance|cga|cgas|secretory protein, parathyroid",,,
1129,numerical,"testosterone, free",testosterone,testosteronum|testosterone  substance|testosterones|17beta -17-hydroxyandrost-4-en-3-one|product containing testosterone  medicinal product|4-androsten-17β-ol-3-one|testosteron|testosterone|17 beta hydroxy 4 androsten 3 one|testosterone-containing product|17beta-hydroxy-4-androsten-3-one|testostérone|17-beta-hydroxy-4-androsten-3-one|androst-4-en-17beta-ol-3-one|delta4-androsten-17beta-ol-3-one|testosterona|trans-testosterone,,,
1130,numerical,factor xiii,factor XIII,"fibrin stabilising factor|laki lorand factor|coagulation factor xiii|factor thirteen|stabilizing factor, fibrin|product containing coagulation factor xiii  medicinal product|factor xiii|blood coagulation factor xiii|xiii, coagulation factor|factor xiii, coagulation|factor xiii transamidase|fibrin stabilizing factor|coagulation factor xiii  substance|coagulation factor xiii-containing product|fsf|factor 13|blood-coagulation factor xiii|laki-lorand factor|transamidase, factor xiii|fibrinase",,,
1131,numerical,amyloid a,Serum amyloid A protein,serum a related protein|saa|amyloid a precursor|aa protein|serum amyloid a protein|serum amyloid protein a|serum amyloid a|saa - serum amyloid a|amyloid protein saa|amyloid a protein-related serum component|saa protein|amyloid a protein related serum component|serum amyloid|amyloid protein aa precursor|amyloid substance|serum amyloid a protein  substance|amyloid-related serum protein  saa|amyloid a|amyloid serum protein saa,,,
1132,numerical,carbamazepine,carbamazepine,"carbamazepine-containing product|5-carbamyl-5h-dibenzo b,f azepine|cbz|5-carbamoyl-5h-dibenz b,f azepine|carbamazepine|carbamazepina|carbamazepine  substance|carbamazépine|5-carbamoyl-5h-dibenzo b,f azepine|product containing carbamazepine  medicinal product|carbamazepinum|5h-dibenz b,f azepine-5-carboxamide|carbamazepines|carbamazepin|5-carbamoyl-5h-dibenz[b,f]azepine|carbamazepen",,,
1133,numerical,vitamin d,ergocalciferol,"ercalciol|viosterol preparation|vitamin d2 preparation|d2, vitamin|ergocalciferol|vitamin d2|9,10-secoergosta-5,7,10 19 ,22-tetraen-3-beta-ol|ergocalciferolum|vitamin d 2|product containing ergocalciferol  medicinal product|ergocalciferol  substance|5z,7e,22e - 3s -9,10-secoergosta-5,7,10 19 ,22-tetraen-3-ol|ergocalciférol|oleovitamin d2|activated ergosterol|calciferol|ergocalciferol preparation|5z,7e,22e - 3s -9,10-seco-5,7,10 19 ,22-ergostatetraen-3-ol|vitamin d|vitamina d2|viosterol|3β,5z,7e,22e -9,10-secoergosta-5,7,10 19 ,22-tetraen-3-ol|ergocalciferol-containing product|activated ergosterol preparation|calciferol preparation",,,
1134,numerical,hepatitis c virus rna,Hepatitis C virus RNA,hepatitis c virus rna|ribonucleic acid of hepatitis c virus|ribonucleic acid of hepatitis c virus  substance,,,
1135,numerical,insulin-like growth factor-1,Somatomedin-C measurement,insulin like growth factor-1 measurement|insulin-like growth factor-i measurement|insulin-like growth factor-1|somatomedin-c measurement|somatomedin-c measurement  procedure|insulin-like growth factor-1 measurement|igf1,,,
1136,numerical,triiodothyronine,liothyronine,"3,5,3' triiodothyronine|liothyronine  substance|triiodothyronine|l-triiodothyronine preparation|3,5,3'-triiodothyronine|t3 thyroid hormone|l-tyrosine, o- 4-hydroxy-3-iodophenyl -3,5-diiodo-|t3 preparation|liothyroninum|l-t3|o- 4-hydroxy-3-iodophenyl -3,5-diiodo-l-tyrosine|therapeutic triiodothyronine|t3|triiodothyronine  t3|4- 4-hydroxy-3-iodophenoxy -3,5-diiodo-l-phenylalanine|3,5,3'-triiodo-l-thyronine|therapeutic t3|liothyronine-containing product|3,3',5-triiodo-l-thyronine|l-3,5,3'-triiodothyronine|product containing liothyronine  medicinal product|3,3',5-triiodothyronine|liothyronine|l-triiodothyronine|triiodothyronine preparation|t3 - triiodothyronine|t-3|liotironina|thyroid hormone, t3",,,
1137,numerical,meadow fescue pollen ige,Festuca pratensis,lolium pratense  organism|meadow fescue|festuca pratensis huds.|meadow ryegrass|schedonorus pratensis|lolium pratense  huds.  darbysh.|festuca elatior|festuca pratensis|lolium pratense|schedonorus pratensis  huds.  p.beauv.,,,
1138,numerical,cd4,CD4 Antigens,"t-cell t4 antigens|ortho kung t4|t4 molecule|antigens, t-cell t4|cd4 - cluster of differentiation antigen 4|cd4 molecule|cd4 antigens|surface cd4 receptor|surface cd4 receptors|helper t lymphocyte marker|antigens, cd4|t4 - t-cell lineage 4|t4 antigens, t cell|cd4 receptor, surface|t4 antigens, t-cell|receptors, surface cd4|cd4 receptors|lymphocyte antigen cd4|okt4 - ortho kung t4|t-helper cell marker|antigen, cd4|cluster of differentiation antigen 4|leucocyte 3a|cd4|cd4 receptors, surface|leukocyte 3a|lymphocyte antigen cd4  substance|t-cell lineage 4|okt4 antigen|receptors, cd4|cd4 antigen|cd4 receptor",,,
1139,numerical,interleukin-17a,"IL17A protein, human","il17a|interleukin 17 precursor|il17 protein|interleukin-17a , human|cytotoxic t-lymphocyte-associated antigen 8|interleukin-17a|il17|interleukin-17|interleukin 17|ctla8|il-17a, human|il-17|cytotoxic t-lymphocyte-associated serine esterase 8|il-17a|il17a protein, human|ctla-8|interleukin 17a, human",,,
1140,numerical,cd8,CD8 Antigens,"cd8|cd8 co-receptor|suppressor t lymphocyte marker|hla - class 1 human leukocyte antigen receptor|t-cell surface glycoprotein cd8|t8 - t-cell lineage 8|antigens, t-cell t8|lymphocyte antigen cd8  substance|antigens, leu-2|t-cell lineage 8|leucocyte 2|class 1 human leucocyte antigen receptor|cd8 antigens|t8 antigens, t-cell|hla - class 1 human leucocyte antigen receptor|cd8 molecule|lymphocyte antigen cd8|cluster of differentiation antigen 8|leu 2 antigens|okt8 - ortho kung t8|leu-2 antigens|cd8 complex|okt8 antigen|cd8 antigen|t-cell t8 antigens|cd8 - cluster of differentiation antigen 8|ortho kung t8|t8 molecule|leukocyte 2|antigens, cd8|t-suppressor / cytotoxic cell marker|t8 antigens, t cell|class 1 human leukocyte antigen receptor|antigen, cd8",,,
1141,numerical,vitamin c,ascorbic acid,"vit c|ascorbic acid|ascorbinsäure|c vitamin|ascorbic acid preparation|acide ascorbique|l- + -ascorbic acid|vitamin c|acid, l-ascorbic|vitamin c preparation, nos|product containing ascorbic acid  medicinal product|acid, ascorbic|l-ascorbic acid|ácido ascórbico|vitamina c|ascorbic acid  substance|ascorbic acid-containing product|vitamin c preparations|l ascorbic acid|vitamin-c|acidum ascorbinicum|2- 1,2-dihydroxyethyl -4,5-dihydroxy-furan-3-one|acidum ascorbicum|ascorbic acid  vit c",,,
1142,numerical,ethanol,ethanol,,,,
1143,numerical,rheumatoid factor,Rheumatoid Factor,"factor rheumatoid|rheumatoid factor|rhf - rheumatoid factor|rf|rheumatoid factors|ra factor|rf - rheumatoid factor|rheumatoid factor  substance|factor, rheumatoid",,,
1144,numerical,phencyclidine,Phencyclidine,"piperidine, 1- 1-phenylcyclohexyl -|dust, angel|phencyclidines|fenciclidina|pcp|1- 1-phenylcyclohexyl piperidine|phencyclidine|phencyclidine  substance|angel dust|phencyclidine pcp|phencyclidinum",,,
1145,numerical,platelet distribution width,Blood Platelets,"hayem's elementary corpuscle|deetjeen's body|platelets|plt platelet|marrow platelet|thrombocyte|thrombocytes|platelets, blood|platelets blood|platelet  cell structure|reticuloendothelial system, platelets|platelet blood|bizzozero's corpuscle/cell|platelet, blood|blood platelets|platelet|plt - platelet|blood platelet|plt - platelets",,,
1146,numerical,beta globulin,beta Globulin,beta-globulin|beta globulins|beta globulin  substance|beta-globulins|beta globulin,,,
1147,numerical,tubular epithelial cells,Renal tubular disorder,"kidney tubular disorder|renal tubular dysfunction|renal tubular disorder, nos|disorder tubular kidney|renal tubular disorder  disorder|tubular|kidney tubule disorder|tubulonephrosis|nephropathy tubular|renal tubular disorder|renal tubular disease",,,
1148,numerical,beta-glucocerebrosidase,GLUCOSYLCERAMIDASE,"glucocerebroside beta-glucosidase|ceramidase, glucosyl|acid beta-glucosidase|lysosomal glucocerebrosidase|beta-glucosidase, acid|beta-glucocerebrosidase|d-glucosyl-n-acylsphingosine glucohydrolase|beta-glucosidase, glucosylceramide|beta-glucocerebrosidase  substance|glucosyl ceramidase|glucosylceramide beta glucosidase|alglucerase|ec 3.2.1.45|glucosylsphingosine glucosyl hydrolase|acid beta glucosidase|d-glucosyl-n-acylsphingosine glucosylhydrolase|hydrolase, glucosylsphingosine glucosyl|glucocerebrosidase|glucosyl hydrolase, glucosylsphingosine|glucosphingosine glucosylhydrolase|glucosidase, beta; acid  includes glucosylceramidase|beta-glucosidase, glucocerebroside|glucosylceramide beta-glucosidase|glucocerebroside beta glucosidase|glucosylceramidase|beta glucocerebrosidase",,,
1149,numerical,quantiferon-tb gold plus nil,Nil,nil|nil  qualifier value,,,
1150,numerical,methyltransferase km,Methyltransferase,substance with methyltransferase mechanism of action|substance with methyltransferase mechanism of action  substance|transmethylase|methylase|ec 2.1.1|methyltransferases|methyltransferase,,,
1151,numerical,cd4/cd8,CD4 Cell to CD8 Cell Ratio Measurement,cd4cd8|cd4/cd8,,,
1152,numerical,alpha-1 acid glycoprotein,Orosomucoid,"agp|serum sialomucin|alpha 1 acid seromucoid|alpha-1-acid glycoprotein|alpha>1< glycoprotein|acid seromucoid|alpha<sub>1</sub> glycoprotein|alpha<sub>1</sub> seromucoid|alpha 1 -acid glycoprotein|alpha 1-glycoprotein acid|glycoprotein, alpha 1-acid|alpha 1-acid glycoprotein|alpha-1- acid glycoprotein|a-1ag - alpha-1 acid glycoprotein|seromucoid|a 1 -acid seromucoid|agp - alpha-1 acid glycoprotein|alpha 1-acid seromucoid|alpha 1 glycoprotein acid|orosomucoid|seromucoid, acid|alpha1 seromucoid|alpha 1 acid glycoprotein|sialomucin, serum|acid alpha 1-glycoprotein|alpha1 glycoprotein|alpha-1 acid glycoprotein|alpha>1< seromucoid|alpha-1- acid glycoprotein  substance|acid alpha 1 glycoprotein|seromucoid, alpha 1-acid",,,
1153,numerical,insulin-like growth factor binding prot3,insulin-like growth factor binding,igf binding,,,
1154,numerical,hepatitis b virus core antibody,Antibody to hepatitis B core antigen,"antibodies antigen b core hepatitis|hbv core antibody|anbc - hepatitis b core antibody|anti-hbc|antibody to hepatitis core antigen, hbcag|hepatitis b virus core antibody|antibody to hepatitis b core antigen, nos|antibody to hepatitis b core antigen|antibody b core hepatitis|hbcab|anti hbc, nos|anti hbc|antibody to hepatitis b core antigen  substance|hepatitis b core antibody|antibodies b core hepatitis",,,
1155,numerical,bermuda grass pollen ige,Cynodon,"cynodon|grass, bermuda|bermudagrasses|bermudagrass|cynodon  organism|cynodons|grasses, bermuda|bermuda grasses|cynodon, nos|bermuda grass",,,
1156,numerical,angiotensin i,Angiotensin I,1 angiotensin|angiotensin i  substance|angiotensin 1|angiotensin i,,,
1157,numerical,ery. mean corpuscular hgb concentration,ery. mean corpuscular hgb concentration,,,,
1158,numerical,alpha tocopherol,alpha tocopherol,"tocopherol, d-alpha|d-alpha tocopherol|alpha-tocopherol preparation|2r,4'r,8'r -α-tocopherol|product containing alpha-tocopherol  medicinal product|alpha tocopherol-containing product|+ -α-tocopherol|.alpha.-tocopherol, d-|d-α-tocopherol|d-alpha-tocopherol  substance|+/- -alpha-tocopherol|alpha-tocopherol, d-|+- -alpha-tocopherol|2r -2,5,7,8-tetramethyl-2-[ 4r,8r -4,8,12-trimethyltridecyl]chroman-6-ol|alpha tocopherol|2,5,7,8-tetramethyl-2- 4,8,12-trimethyltridecyl chroman-6-ol|dl-alpha tocopherol|r,r,r-alpha-tocopherol|alpha-tocopherol|+ -alpha-tocopherol|alpha-tocopherol  substance|d-alpha-tocopherol|3,4-dihydro-2,5,7,8-tetramethyl-2- 4,8,12-trimethyltridecyl -2h-1-benzopyran-6-ol|alpha-tocopherol-containing product|.alpha.-tocopherol|r,r,r -α-tocopherol|d alpha tocopherol",,,
1159,numerical,complement bb,Complement Bb Measurement,complement bb measurement|bb fragment of complement factor b|cbb|complement bb|bb fragment of factor b,,,
1160,numerical,myoglobin,Myoglobin,myoglobin|myoglobin  substance|myoglobins,,,
1161,numerical,dog dander antigen ige antibody,Canis familiaris,"canine species|dog|dogs|canis lupus subspecies familiaris|domestic dog ancestor|canis familiaris|canis lupus familiaris|domestic dog|canis canis|canine|canis domesticus|canines|canine, nos|mammals, dogs|canis lupus subspecies familiaris  organism",,,
1162,numerical,s100 calcium-binding protein b,S100B wt Allele,"s-100 calcium-binding protein, beta chain gene|s100 calcium-binding protein, beta  neural  gene|s100beta|s100 calcium binding protein b wt allele|s100b wt allele|nef|s100|s100 calcium binding protein, beta  neural  gene|s100-b",,,
1163,numerical,thrombin/antithrombin,Thrombin to Antithrombin Ratio Measurement,tat|thrombin/antithrombin|thrombin to antithrombin ratio measurement|thrombin/antithrombin iii,,,
1164,numerical,digitoxin,digitoxin,"digitoxinum|product containing digitoxin  medicinal product|cardidigin|digitoksin|digitoxina|card-20 22 -enolide, 3-  o-2,6-dideoxy-beta-d-ribo-hexopyranosyl- 1-4 -o-2,6-dideoxy-beta-d-ribo-hexopyranosyl- 1-4 -2,6-dideoxy-beta-d-ribo-hexopyranosyl oxy -14-hydroxy-,  3beta,5beta -|crystalline digitalin|digitoxine|3beta,5beta -3-[ o-2,6-dideoxy-beta-d-ribo-hexopyranosyl- 1-4 -o-2,6-dideoxy-beta-d-ribo-hexopyranosyl- 1-4 -2,6-dideoxy-beta-d-ribo-hexopyranosyl oxy]-14-hydroxycard-20 22 -enolide|digitoxin-containing product|digitoxin  substance|digitoxin|digitoxoside",,,
1165,numerical,monoclonal protein spike quantity 3,Monoclonal Protein Spike Measurement,mspike|monoclonal protein spike,,,
1166,numerical,benzodiazepine,Benzodiazepines,benzodiazepine compounds|benzodiazepine|benzodiazepines,,,
1167,numerical,transferrin saturation,Transferrin,"transferrin  substance|transferrin|beta 1 metal binding globulin|iron binding protein|serotransferrin|siderophilin|metal-binding globulin, beta-1|beta-1 metal-binding globulin|globulin, beta-1 metal-binding",,,
1168,numerical,gamma tocopherol,gamma-Tocopherol,"gamma tocopherols|gamma-tocopherol preparation|gamma-tocopherol|gamma tocopherol|gamma tocopherol-containing product|gamma tocopherol  substance|2,7,8-trimethyl-2- 4,8,12-trimethyltridecyl chroman-6-ol|product containing gamma tocopherol  medicinal product|3,4-dihydro-2,7,8-trimethyl-2- 4,8,12-trimethyltridecyl -2h-1-benzopyran-6-ol|.gamma.-tocopherol",,,
1169,numerical,bun/creatinine,Blood urea nitrogen measurement,"blood urea measurement|blood urea nitrogen measurement  procedure|blood urea nitrogen  bun  level test|blood urea nitrogen measurement|blood urea measurement  procedure|blood urea nitrogen|bun measurement|nitrogen, blood urea|bun|urea blood|blood urea|urea nitrogen, blood",,,
1170,numerical,apolipoprotein b,Apolipoproteins B,apolipoprotein b  substance|apolipoprotein b|apolipoproteins b|apo b|apob|apo-b,,,
1171,numerical,partial pressure carbon dioxide,"Carbon dioxide measurement, partial pressure","pco2|partial pressure of carbon dioxide measurement|partial pressure carbon dioxide|carbon dioxide measurement, partial pressure|paco2 measurement|carbon dioxide measurement, partial pressure  procedure",,,
1172,numerical,leukocyte cell clumps,Leukocytes,"blood white cells|leukocytes|blood corpuscles white|leukocyte|wbc  white blood cell|blood corpuscles, white|white blood cell  wbc|marrow leukocyte|leucocyte|blood cell, white|white blood cell, nos|leukocyte  cell|white blood corpuscles|leukocyte, nos|white blood cell|blood corpuscle, white|leukocytic|white blood cells|reticuloendothelial system, leukocytes|corpuscle, white blood|bloods cells white|blood leukocytes|white blood corpuscle|white cell|wbc|corpuscles, white blood|wbc - white blood cell|leucocytes|blood white cell|blood leukocyte|cell leukocyte|blood cells, white",,,
1173,numerical,complement c5a,Complement C5a,"complement, c5a|c5a|complement 5a|c5a complement|component 5a, complement|c5a, complement|complement c5a|complement component 5a|recombinant c5a",,,
1174,numerical,"antiglobulin test, indirect",Coombs Test,"antihuman globulin consumption test|tests, antiglobulin consumption|antiglobulin tests|test coombs|coombs testing|consumption test, antiglobulin|test, antiglobulin|coombs|coomb's test|test, coombs'|test, antiglobulin consumption|anti human globulin test technique|test, coombs|consumption tests, antiglobulin|coombs' test|antiglobulin consumption test|antiglobulin consumption tests|anti human globulin test technique  qualifier value|coombs test|tests, antiglobulin|anti human globulin test|coomb test|antiglobulin test",,,
1175,numerical,hepatitis b virus surface antigen,hepatitis B virus,"hepatitis b virus hbv|hepatitis associated virus|viruses, hepatitis b|b virus, hepatitis|hbv hepatitis b virus|human hepatitis b virus hbv|hepatitis b viruses|hepatitis virus, homologous serum|hepatitis b virus  hbv|hepatitis b virus  organism|hbv|virus-hepatitis b|hepatitis b virus, hbv|serum hepatitis virus|human hepatitis b virus|hepatitis b virus|ms-2 virus|hbv - hepatitis b virus",,,
1176,numerical,alpha-1 microglobulin,AMBP gene,"protein hc|uti|alpha-1 microglobulin/bikunin precursor|alpha-1 microglobulin|itilc|uronic-acid-rich protein|ambp|uristatin|inter-alpha-trypsin inhibitor light chain|inter-alpha-trypsin inhibitor, light chain|trypstatin|growth-inhibiting protein 19|complex-forming glycoprotein heterogeneous in charge|a1m|ambp gene|itil|bikunin|hcp|alpha-1-microglobulin/bikunin precursor|hi30|iatil|edc1",,,
1177,numerical,cystine crystals,cystine,"propanoic acid, 3,3'-dithiobis 2-amino-|l cystine|l-alanine, 3,3'-dithiobis-|r,r -3,3'-dithiobis 2-aminopropanoic acid|cystine acid|1-cystine|cystine  substance|l-cystine|3,3'-dithiodialanine|l-cysteine disulfide|l-alpha-diamino-beta-dithiolactic acid|cystine|dicysteine|beta,beta'-dithioalanine, l-|cystine  l -|beta,beta'-diamino-beta,beta'-dicarboxydiethyl disulfide|cystine, l-|oxidized l-cysteine|cistina|alanine, 3,3'-dithiobis-|3,3'-dithiobis 2-aminopropanoic acid|cysteine disulfide|beta,beta'-diamino-beta,beta'-dicarboxydiethyldisulfide|bis beta-amino-beta-carboxyethyl disulfide|β,β'-dithiodialanine|l-dicysteine|beta,beta'-dithiodialanine|2r,2'r -3,3'-disulfanediylbis 2-aminopropanoic acid|alanine, 3,3'-dithiodi-",,,
1178,numerical,fibrin degradation products,Fibrin split products,"fibrinogen split products, nos|fibrin/fibrinogen degradation products|fibrin fibrinogen degradation products|fibrin degradation products|fdp|fibrin split products|fibrinogen split product|antithrombin vi|fibrinogen degradation product, nos|fsp|fibrinogen split products|fibrin degradation product, nos|fibrin split products, nos  fsp|fibrin degradation products  fdps|fibrin degradation agent|fdp - fibrinogen degradation product|fibrin degradation product|fibrin fibrinogen split products|degradation products, fibrin|fibrinogen degradation product|fibrin degradation agent  substance|fibrinogen degradation product, nos  fdp",,,
1179,numerical,hemoglobin c,Hemoglobin C,"hemoglobin c  substance|hb 6 a3 , glu-lys, beta chain|c hemoglobin|hemoglobin c|haemoglobin c|hb c - haemoglobin c|hb, beta-6 glu-lys|hb c - hemoglobin c|hb 6  a3 , glu-lys, beta chain",,,
1180,numerical,angiotensin ii,angiotensin II,angiotensin 2|angiotonin|angiotensin- 1-8  octapeptide|isoleucine5-angiotensin ii|product containing angiotensin ii  medicinal product|2 angiotensin|angiotensin ii  substance|angiotensin ii|5-l-isoleucineangiotensin ii|angiotensin ii-containing product|ang- 1-8 octapeptide,,,
1181,numerical,snrnp70 antibody,Antibodies,"ab|antibody|product containing antibody  product|antibody-containing product|antibodies|antibody  substance|antibody, nos",,,
1182,numerical,d. farinae antigen igg4 antibody,Dermatophagoides farinae Antigen IgE Antibody Measurement,d. farinae antigen ige antibody|c130132,,,
1183,numerical,hbv viral load,Hepatitis B,"hepatitis b viral|hepatitis viral b|hepatitis, serum|viral hepatitis type b|hepatitis b|viral hepatitis type b  disorder|hepatitis b infection|hbv|hepatitis b virus infection|type b viral hepatitis|viral hepatitis b|serum hepatitis|viral hepatitis, type b|b viral hepatitis|sh - serum hepatitis",,,
1184,numerical,"neutrophils, segmented",neutrophil,"cells pmn|polymorphonuclear neutrophils|blood pmn|polymorphonuclear neutrophil|marrow neutrophil|neutrophil leucocyte|polymorph|polymorphonuclear cell|blood neutrophil|pmn|neutrophilic leukocyte|neutrophilic granulocyte|neutrophil leukocyte|heterophile leucocyte|polymorphonuclear leucocyte|polymorphonuclear leukocyte|pmn - polymorphonuclear leucocyte|neutrophile|pmn cell|polymorphonuclear cells|blood segmented neutrophil|neutrophil|leukocyte, polymorphonuclear|polymorphonuclear leukocytes|neutrophils|polymorphs|heterophil granulocyte|leukocytes, polymorphonuclear|pmn - polymorphonuclear leukocyte",,,
1185,numerical,urate,Uric acid measurement (procedure),"uric acid measurement, nos|uric acid|urate measurement|uric acid measurement  procedure|urate|uric acid measurement|urate measurement, nos",,,
1186,numerical,rubella igg antibody,Rubella IgG Antibody Measurement,rubiggab|rubella igg antibody measurement|rubella igg antibody,,,
1187,numerical,acid alpha glucosidase activity,glucosidase activity,glucosidase activity,,,
1188,numerical,anti-zinc transporter 8 antibody,Antibodies,"ab|antibody|product containing antibody  product|antibody-containing product|antibodies|antibody  substance|antibody, nos",,,
1189,numerical,amorphous phosphate crystals,amorphous solid,,,,
1190,numerical,taenia solium igg antibody,Taenia solium,"taenia armata|pig tapeworm|tapeworm, pork|taenia soliums|cysticercus cellulosae|soliums, taenia|taenia solium|tapeworm pork|pork tapeworms|pork tapeworm|tapeworms, pork|armed tapeworm|taenia solium  organism|pork bladder worm|solium taenia|tenia solium|taenia dentata",,,
1191,numerical,rubeola igg antibody,Rubeola IgG Antibody Measurement,measles igg antibody|rubeola igg antibody|rboiggab,,,
1192,numerical,plasminogen,Plasminogen,fibrinase precursor|thrombolysin precursor|plasminogen|plg|plasminogen  substance|plmn|plg - plasminogen|plasmin precursor|ec 3.4.21.7|profibrinolysin|fibrinolysin precursor,,,
1193,numerical,"malignant cells, nos/blood cells","Tumor cells, malignant","malignant cell|cancers cell|malignant tumor cells|tumour cells, malignant|tumor cells, malignant|cancer cells|malignant cells|malignant tumour cells|cells malignant|cancer cell|tumor cells, malignant  morphologic abnormality",,,
1194,numerical,metamyelocytes,Metamyelocytes,metamyelocyte  cell|metamyelocytes|metamyelocyte|metamyelocyte cell,,,
1195,numerical,regulatory t-cell,Regulatory T-Lymphocytes,"t-cells, regulatory|regulatory t lymphocytes|regulatory t-lymphocytes|t-lymphocytes, regulatory|regulatory t-lymphocyte|treg cell|t-lymphocyte, regulatory|t lymphocytes, regulatory|regulatory t-cells|regulatory t cell|treg cells|cell, treg|t cells, regulatory|cells, treg|regulatory t cells",,,
1196,numerical,tree mix pollen antigen ige antibody,Antibodies,"ab|antibody|product containing antibody  product|antibody-containing product|antibodies|antibody  substance|antibody, nos",,,
1197,numerical,transferrin,Transferrin,"transferrin  substance|transferrin|beta 1 metal binding globulin|iron binding protein|serotransferrin|siderophilin|metal-binding globulin, beta-1|beta-1 metal-binding globulin|globulin, beta-1 metal-binding",,,
1198,numerical,25-hydroxyvitamin d,calcifediol,"25-hydroxyvitamin d3 preparation|25-hcc - 25-hydroxycholecalciferol|3beta,5z,7e -9,10-secocholesta-5,7,10 19 -triene-3,25-diol|calcifediol|5z,7e - 3s -9,10-secocholesta-5,7,10 19 -triene-3,25-diol|product containing calcifediol  medicinal product|calcifediol-containing product|calcifediol  substance|5,6-cis-25-hydroxyvitamin d3|25-ohd3 preparation|25-hydroxyvitamin d|25-hydroxy cholecalciferol|25-hydroxyvitamin d 3|3β,5z,7e -9,10-secocholesta-5,7,10 19 -triene-3,25-diol|9,10-secocholesta-5,7,10 19 -triene-3,25-diol,  3beta,5z,7e -|25 hydroxyvitamin d3|monohydrate, 25-hydroxycholecalciferol|25-hydroxycholecalciferol preparation|calcifediolum|3s,5z,7e -9,10-secocholesta-5,7,10-triene-3,25-diol|25-ohcc - 25-hydroxycholecalciferol|25 oh d3|25-ohcc preparation|25-hcc preparation|9,10-secocholesta-5,7,10 19 -triene-3beta,25-diol|25-hydroxycholecalciferol|calcidiol|25 hydroxycholecalciferol|calcifediol preparation|25-hydroxycholescalciferol|calcifédiol|cholecalciferol, 25-hydroxy-|25 hydroxyvitamin d 3|5z,7e -9,10-seco-5,7,10 19 -cholestatrien-3beta,25-diol|25 hydroxycholecalciferol monohydrate|5,6-trans-9,10-seco-5,7,10 19 -cholestatrien-3beta,25-diol|25-hydroxyvitamin d3|25-hydroxycholecalciferol monohydrate|5,6-trans-25-hydroxycholescalciferol",,,
1199,numerical,varicella zoster virus igg antibody,"herpesvirus 3, human","ocular herpes zoster virus|herpesvirus varicellae|varicella-zoster viruses|herpes zoster|human herpes virus 3|herpesvirus 3, human|varicella zoster virus|varicella-zoster virus vzv|varicella-zoster virus 1|human herpesvirus 3|herpes zoster viruses|hz - herpes zoster virus|hhv-3|chickenpox viruses|varicella-zoster virus|hhv3|chickenpox virus|hz - herpes zoster|vz virus|vzv|human  alpha  herpes virus 3|vzv - varicella-zoster virus|human herpesvirus 3  organism|varicellae, herpesvirus|human alphaherpesvirus 3|varicella zoster virus vzv|varicella virus|vz viruses|varicella|herpes zoster virus|herpesvirus 3  alpha , human",,,
1200,numerical,"platelets, estimated",Blood Platelets,"hayem's elementary corpuscle|deetjeen's body|platelets|plt platelet|marrow platelet|thrombocyte|thrombocytes|platelets, blood|platelets blood|platelet  cell structure|reticuloendothelial system, platelets|platelet blood|bizzozero's corpuscle/cell|platelet, blood|blood platelets|platelet|plt - platelet|blood platelet|plt - platelets",,,
